1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
1222,698.0,4.0,No,0,Unf,570,0.0,487,RFn,1968.0,1920,Gd,10192,102.0,143.0,98,6,7,570,0.0,1968,1992
1165,0.0,4.0,No,0,Unf,1141,0.0,420,Fin,1998.0,2263,Gd,12090,93.0,650.0,123,5,8,1141,144.0,1998,1998
698,430.0,2.0,No,0,Unf,698,0.0,528,RFn,1980.0,1128,TA,7500,60.0,0.0,0,4,4,698,0.0,1920,1950
1844,0.0,2.0,No,976,GLQ,868,0.0,620,Fin,2005.0,1844,Gd,10994,88.0,366.0,44,5,8,1844,0.0,2005,2006
1419,0.0,2.0,Av,945,Unf,474,0.0,567,RFn,2007.0,1419,Gd,8089,60.0,0.0,0,6,8,1419,0.0,2007,2007
1422,1177.0,4.0,No,0,Unf,1393,0.0,779,Fin,1999.0,2599,Gd,14774,108.0,165.0,30,5,9,1393,0.0,1999,1999
1629,0.0,3.0,Av,1300,GLQ,316,0.0,808,Fin,2002.0,1629,Gd,14536,85.0,236.0,252,5,8,1616,0.0,2002,2003
954,795.0,5.0,No,0,Unf,795,0.0,440,Unf,1997.0,2230,TA,6204,60.0,0.0,188,5,4,795,0.0,1912,1950
2515,0.0,4.0,No,1219,Rec,816,0.0,484,Unf,1975.0,2515,TA,32668,69.0,0.0,0,3,6,2035,0.0,1957,1975
993,915.0,4.0,No,0,Unf,967,0.0,431,Fin,2002.0,1908,Gd,14191,85.0,0.0,0,5,8,967,0.0,2002,2002
1053,795.0,4.0,No,0,Unf,833,0.0,370,Unf,1922.0,1848,Gd,13053,64.0,0.0,0,7,6,833,0.0,1923,2000
526,462.0,2.0,Gd,462,GLQ,0,0.0,297,Unf,1973.0,988,TA,1596,21.0,0.0,101,5,4,462,0.0,1973,1973
1026,0.0,3.0,Gd,505,GLQ,0,0.0,576,Unf,1981.0,1026,TA,10970,69.0,0.0,0,6,6,940,0.0,1978,1978
1306,954.0,3.0,Gd,1201,GLQ,105,0.0,533,Unf,1996.0,2260,Gd,14000,80.0,0.0,44,5,7,1306,0.0,1996,1997
958,620.0,3.0,No,403,BLQ,238,0.0,240,Unf,1941.0,1578,Fa,9490,79.0,0.0,0,7,6,806,0.0,1941,1950
1217,0.0,3.0,Av,611,GLQ,577,0.0,497,Unf,1990.0,1217,Gd,9947,69.0,0.0,27,5,7,1188,0.0,1990,1991
729,717.0,3.0,Gd,604,GLQ,125,0.0,406,Unf,1996.0,1446,TA,21872,57.0,0.0,22,5,7,729,0.0,1996,1997
1442,0.0,4.0,No,608,Rec,834,0.0,301,RFn,1958.0,1442,TA,9750,75.0,243.0,0,6,6,1442,0.0,1958,1958
2402,0.0,2.0,Gd,1767,GLQ,788,0.0,672,Fin,2008.0,2402,Ex,15431,105.0,200.0,72,5,10,3094,0.0,2008,2008
1580,886.0,4.0,No,0,Unf,1580,0.0,610,RFn,2004.0,2466,Gd,11143,102.0,0.0,214,5,8,1580,0.0,2004,2005
1041,0.0,3.0,No,991,ALQ,50,0.0,270,RFn,1959.0,1041,TA,9600,80.0,132.0,88,6,5,1041,0.0,1959,1959
